ตาราง 17.1 เครื่องชี้ภาวะการท่องเที่ยว พ.ศ. 2562 - 2566,,,,,,,,
Table17.1 Tourism Indicators: 2019 - 2023,,,,,,,,
,,,,,,,,
รายการ,ภาค,2562 (2019) ,2563 (2020),2564 (2021) ,2565 (2022),2566 (2023),Item,Region
ค่าห้องพักที่ขายได้ (เฉลี่ย) ของสถานพักแรม (บาท/ห้อง),ทั่วราชอาณาจักร,1733.73,1105.80,976.23,1062.85,1488.19,Average room rental rate (baht/room) ,Whole Kingdom
ค่าห้องพักที่ขายได้ (เฉลี่ย) ของสถานพักแรม (บาท/ห้อง),ภาคกลาง (รวมกรุงเทพฯ),1690.90,1156.95,1053.91,1084.84,1577.40,Average room rental rate (baht/room) ,Central Region (including Bangkok)
ค่าห้องพักที่ขายได้ (เฉลี่ย) ของสถานพักแรม (บาท/ห้อง),ภาคเหนือ,1402.43,989.31,825.54,1020.93,1286.95,Average room rental rate (baht/room) ,Northern Region
ค่าห้องพักที่ขายได้ (เฉลี่ย) ของสถานพักแรม (บาท/ห้อง),ภาคตะวันออกเฉียงเหนือ,850.37,622.80,628.87,577.84,741.95,Average room rental rate (baht/room) ,Northeastern Region
ค่าห้องพักที่ขายได้ (เฉลี่ย) ของสถานพักแรม (บาท/ห้อง),ภาคใต้,2313.17,1306.86,1052.26,1246.79,1890.90,Average room rental rate (baht/room) ,Southern Region
 สัดส่วนรายได้จากการจัดประชุม/สัมมนาของสถานพักแรม (ร้อยละ),ทั่วราชอาณาจักร,29.82,14.24,3.43,19.72,27.44,Share of revenue from conference/Seminar package to total revenue (percent) ,Whole Kingdom
 สัดส่วนรายได้จากการจัดประชุม/สัมมนาของสถานพักแรม (ร้อยละ),ภาคกลาง (รวมกรุงเทพฯ),31.53,13.93,3.73,22.47,30.16,Share of revenue from conference/Seminar package to total revenue (percent) ,Central Region (including Bangkok)
 สัดส่วนรายได้จากการจัดประชุม/สัมมนาของสถานพักแรม (ร้อยละ),ภาคเหนือ,28.67,15.17,3.12,21.69,24.93,Share of revenue from conference/Seminar package to total revenue (percent) ,Northern Region
 สัดส่วนรายได้จากการจัดประชุม/สัมมนาของสถานพักแรม (ร้อยละ),ภาคตะวันออกเฉียงเหนือ,27.36,14.92,3.02,15.30,16.61,Share of revenue from conference/Seminar package to total revenue (percent) ,Northeastern Region
 สัดส่วนรายได้จากการจัดประชุม/สัมมนาของสถานพักแรม (ร้อยละ),ภาคใต้,29.88,13.34,3.41,16.66,28.33,Share of revenue from conference/Seminar package to total revenue (percent) ,Southern Region
สัดส่วนนักท่องเที่ยวที่เป็นชาวต่างประเทศที่เข้าพักในสถานพักแรม (ร้อยละ),ทั่วราชอาณาจักร,36.22,15.59,2.91,8.23,21.24,Share of foreign tourists to total guests (percent) ,Whole Kingdom
สัดส่วนนักท่องเที่ยวที่เป็นชาวต่างประเทศที่เข้าพักในสถานพักแรม (ร้อยละ),ภาคกลาง (รวมกรุงเทพฯ),41.84,19.61,3.56,8.80,19.89,Share of foreign tourists to total guests (percent) ,Central Region (including Bangkok)
สัดส่วนนักท่องเที่ยวที่เป็นชาวต่างประเทศที่เข้าพักในสถานพักแรม (ร้อยละ),ภาคเหนือ,18.16,5.64,0.71,4.83,12.10,Share of foreign tourists to total guests (percent) ,Northern Region
สัดส่วนนักท่องเที่ยวที่เป็นชาวต่างประเทศที่เข้าพักในสถานพักแรม (ร้อยละ),ภาคตะวันออกเฉียงเหนือ,2.39,0.86,0.26,2.40,5.90,Share of foreign tourists to total guests (percent) ,Northeastern Region
สัดส่วนนักท่องเที่ยวที่เป็นชาวต่างประเทศที่เข้าพักในสถานพักแรม (ร้อยละ),ภาคใต้,54.24,28.96,7.99,21.79,42.44,Share of foreign tourists to total guests (percent) ,Southern Region
,,,,,,,,
หมายเหตุ:  ข้อมูล ณ วันที่ 30 เมษายน 2567,,,,,,,,
Note:  Data as of 30 April 2024,,,,,,,,
ที่มา:  กระทรวงการท่องเที่ยวและกีฬา (รายงานดัชนีชี้ภาวะการท่องเที่ยว ธนาคารแห่งประเทศไทย),,,,,,,,
"Source:  Ministry of Tourism and Sports (The tourism index report, Bank of Thailand) ",,,,,,,,
