ตาราง 3.5 จำนวนและร้อยละของนักเรียน นิสิต นักศึกษาในระบบโรงเรียนต่อประชากรในวัยเรียน จำแนกตามระดับการศึกษา ชั้นเรียน และเพศ ปีการศึกษา 2565,,,,,,,,
"Table 3.5 Number of Students in The Formal School System as a Percentage of Schools-age Population by Level of Education, Grade and Sex: Academic Year 2022",,,,,,,,
,,,,,,,,
ระดับการศึกษา,ชั้นเรียน,จำนวนนักเรียนรวมยอด (Total Number of Students),จำนวนนักเรียนชาย (Number of Students_Male),จำนวนนักเรียนหญิง (Female Number of Students),ประชากรในวัยเรียน (School-age population) (1),ร้อยละของนักเรียนต่อประชากรในวัยเรียน (Students as a percentage of school-age population) (2),Level of education,Grade
มัธยมศึกษา,มัธยมศึกษาปีที่ 4/ปวช. 1,707897,292439,415458,807179,87.70,Secondary education,Grade 10
มัธยมศึกษา,มัธยมศึกษาปีที่ 5/ปวช. 2,651957,308715,343242,799760,81.52,Secondary education,Grade 11
มัธยมศึกษา,มัธยมศึกษาปีที่ 6/ปวช. 3,670432,323669,346763,809965,82.77,Secondary education,Grade 12
อุดมศึกษา,อุดมศึกษา,1894705,817536,1077169,,,Higher education,Higher education
อุดมศึกษา,ปริญญาตรีและต่ำกว่า,1755187,757746,997441,3229713,54.34,Higher education,Undergraduate degree and below
อุดมศึกษา,อุดมศึกษาปีที่ 1,575502,263874,311628,821449,70.06,Higher education,Higher education 1st yr.
อุดมศึกษา,อุดมศึกษาปีที่ 2-4,1179685,493872,685813,2408264,48.98,Higher education,Higher education 2nd-4th yr.
อุดมศึกษา,อุดมศึกษา (3),161432,67685,93747,,,Higher education,Higher education (3)
อุดมศึกษา,สูงกว่าปริญญาตรี,139518,59790,79728,,,Graduate degree,Graduate degree
อุดมศึกษา,ประกาศนียบัตร บัณฑิต,10744,3280,7464,,,Graduate degree,Graduate diploma
อุดมศึกษา,ปริญญาโท,99222,42224,56998,,,Graduate degree,Master degree
อุดมศึกษา,ประกาศนียบัตรบัณฑิตชั้นสูง,698,315,383,,,Graduate degree,Higher graduate diploma
อุดมศึกษา,ปริญญาเอก,28854,13971,14883,,,Graduate degree,Doctorate degree
,,,,,,,,
(1) ข้อมูลจากสำนักบริหารการทะเบียน กรมการปกครอง ธ.ค. 2565,,,,,,,,
"(1) Department of Provincal Administration, Ministry of Interior: December 2022",,,,,,,,
(2) ร้อยละของนักเรียนต่อประชากรในวัยเรียนในช่วงอายุเดียวกัน บางชั้นปี เกิน 100% เนื่องจากเป็นการคำนวณอัตราการเข้าเรียนอย่างหยาบ ซึ่งจำนวนนักเรียนมากกว่าจำนวนประชากร,,,,,,,,
"(2) Number of students as a percentage of population in same aged in some cases, enrolment rate is over 100% because it's the gross enrollment, the number of students is greater than the number of school-age population.",,,,,,,,
(3) จำนวนนักเรียน นักศึกษา ช่วงอายุต่ำกว่า 3 ขวบ และมากกว่า 21 ปี ไม่นำไปคำนวณเป็นสัดส่วนนักเรียนต่อประชากร,,,,,,,,
(3) Excluding students aged under 3 years and upper 21 years old.,,,,,,,,
ที่มา: สำนักงานปลัดกระทรวงศึกษาธิการ,,,,,,,,
Source: Office of the Permanent Secretary Ministry of Education,,,,,,,,
