ตาราง  8.5  ร้อยละของครัวเรือน จำแนกตามค่าใช้จ่ายทั้งสิ้นเฉลี่ยต่อเดือน และภาค พ.ศ. 2565 - 2566,,,,,,,,,,,,,,,
Table  8.5  Percentage of Household by Average Total Monthly Expenditure and Region: 2022 - 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ประเภทค่าใช้จ่าย,ค่าใช้จ่าย,ทั่วราชอาณาจักร(Whole Kingdom)_2565 (2022),ทั่วราชอาณาจักร(Whole Kingdom)_2566 (2023),กรุงเทพมหานครและ 3 จังหวัด(Greater Bangkok) (1)_2565 (2022),กรุงเทพมหานครและ 3 จังหวัด(Greater Bangkok) (1)_2566 (2023),ภาคกลาง(Central Region)_2565 (2022),ภาคกลาง(Central Region)_2566 (2023),ภาคเหนือ(Northern Region)_2565 (2022),ภาคเหนือ(Northern Region)_2566 (2023),ภาคตะวันออกเฉียงเหนือ(Northeastern Region)_2565 (2022),ภาคตะวันออกเฉียงเหนือ(Northeastern Region)_2566 (2023),ภาคใต้(Southern Region)_2565 (2022),ภาคใต้(Southern Region)_2566 (2023),Type of expenditure,Expenditure
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อคน (บาท),"ต่ำกว่า  1,501",0.1,--,-,-,0.1,0.1,0.3,0.1,0.1,--,0.1,0.1,Monthly expenditure per capita (Baht),"Less than 1,501"
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อคน (บาท),"1,501 -   3,000",5.4,3.7,0.3,0.1,2.8,2.1,9.6,5.8,9.0,6.1,6.9,5.1,Monthly expenditure per capita (Baht),"1,501 -   3,000 "
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อคน (บาท),"3,001 -   5,000",20.1,18.2,3.2,2.4,14.5,13.1,30.5,27.8,32.3,29.0,24.6,21.7,Monthly expenditure per capita (Baht),"3,001 -   5,000 "
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อคน (บาท),"5,001 - 10,000",38.2,39.4,32.9,27.5,40.4,40.4,38.8,44.5,39.7,43.8,40.1,43.1,Monthly expenditure per capita (Baht),"5,001 - 10,000 "
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อคน (บาท),"10,001 - 15,000",19.1,20.4,31.7,34.0,22.2,22.7,11.9,13.0,10.6,13.2,15.9,16.2,Monthly expenditure per capita (Baht),"10,001 - 15,000 "
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อคน (บาท),"15,001 - 30,000",14.5,15.4,26.7,29.9,17.5,18.7,7.3,7.5,6.7,6.5,10.5,11.6,Monthly expenditure per capita (Baht),"15,001 - 30,000 "
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อคน (บาท),"30,001 - 50,000",2.3,2.4,4.2,4.8,2.3,2.7,1.4,1.1,1.3,1.2,1.7,1.7,Monthly expenditure per capita (Baht),"30,001 - 50,000"
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อคน (บาท),"50,001 - 100,000",0.4,0.5,0.9,1.1,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.4,Monthly expenditure per capita (Baht),"50,001 - 100,000"
ค่าใช้จ่ายทั้งสิ้นต่อเดือนต่อคน (บาท),"มากกว่า  100,000",--,0.1,0.1,0.2,--,--,--,0.1,--,--,--,0.1,Monthly expenditure per capita (Baht),"More than 100,000"
,,,,,,,,,,,,,,,
(1) รวมจังหวัดนนทบุรี ปทุมธานี และสมุทรปราการ  ,,,,,,,,,,,,,,,
"(1)  Including Nonthaburi, Pathum Thani and Samut Prakan.",,,,,,,,,,,,,,,
ที่มา:  การสำรวจภาวะเศรษฐกิจและสังคมของครัวเรือน ทั่วราชอาณาจักร สำนักงานสถิติแห่งชาติ     กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,,,,,,,,,,,,,,,
"Source:  The Household Socio-Economic Survey Whole Kingdom, National Statistical Office,  ",,,,,,,,,,,,,,,
