ตาราง 1.8 ประมาณการประชากร (1 ก.ค.) จำแนกตามภาค จังหวัด และเพศ พ.ศ. 2568 - 2569     ,,,,,,,,,
"Table 1.8 Population Projections (1 July) by Region, Province and Sex: 2025 - 2026",,,,,,,,,
,,,,,,,,,
ภาคตะวันตก,กาญจนบุรี,813.0,396.5,416.5,812.5,396.4,416.1,Western Region,Kanchanaburi
ภาคตะวันตก,สุพรรณบุรี,830.0,404.8,425.2,827.6,403.8,423.9,Western Region,Suphan Buri
ภาคตะวันตก,สมุทรสงคราม,161.7,78.9,82.8,160.4,78.3,82.2,Western Region,Samut Songkhram
ภาคตะวันตก,เพชรบุรี,481.2,234.7,246.5,481.3,234.8,246.5,Western Region,Phetchaburi
ภาคตะวันตก,ประจวบคีรีขันธ์,450.5,219.7,230.8,449.6,219.3,230.2,Western Region,Prachuap Khiri Khan
ภาคเหนือ,ภาคเหนือ,10806.2,5166.1,5640.0,10742.9,5129.6,5613.3,Northern Region,Northern Region
ภาคเหนือ,เชียงใหม่,1664.6,795.8,868.8,1658.4,791.9,866.5,Northern Region,Chiang Mai
ภาคเหนือ,ลำพูน,359.8,172.0,187.8,356.3,170.1,186.2,Northern Region,Lamphun
ภาคเหนือ,ลำปาง,672.0,321.3,350.7,666.2,318.1,348.1,Northern Region,Lampang
ภาคเหนือ,อุตรดิตถ์,389.3,186.1,203.2,385.5,184.1,201.4,Northern Region,Uttaradit
ภาคเหนือ,แพร่,351.2,167.9,183.3,346.4,165.4,181.0,Northern Region,Phrae
ภาคเหนือ,น่าน,429.7,205.4,224.3,427.3,204.0,223.3,Northern Region,Nan
ภาคเหนือ,พะเยา,345.1,165.0,180.1,340.2,162.4,177.7,Northern Region,Phayao
ภาคเหนือ,เชียงราย,1086.7,519.5,567.2,1081.0,516.1,564.8,Northern Region,Chiang Rai
ภาคเหนือ,แม่ฮ่องสอน,239.9,114.7,125.2,241.3,115.2,126.1,Northern Region,Mae Hong Son
ภาคเหนือ,นครสวรรค์,873.6,417.6,455.9,865.5,413.2,452.2,Northern Region,Nakhon Sawan
ภาคเหนือ,อุทัยธานี,263.7,126.1,137.6,261.2,124.7,136.5,Northern Region,Uthai Thani
ภาคเหนือ,กำแพงเพชร,772.6,369.3,403.2,771.1,368.2,402.9,Northern Region,Kamphaeng Phet
ภาคเหนือ,ตาก,512.0,244.8,267.2,511.7,244.3,267.4,Northern Region,Tak
ภาคเหนือ,สุโขทัย,598.3,286.0,312.3,595.8,284.5,311.3,Northern Region,Sukhothai
ภาคเหนือ,พิษณุโลก,885.1,423.1,461.9,882.9,421.6,461.3,Northern Region,Phitsanulok
ภาคเหนือ,พิจิตร,486.2,232.4,253.8,481.5,229.9,251.6,Northern Region,Phichit
ภาคเหนือ,เพชรบูรณ์,876.4,419.0,457.4,870.8,415.8,455.0,Northern Region,Phetchabun
ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,17972.4,8623.3,9349.1,17881.1,8571.4,9309.7,Northeastern Region,Northeastern Region
ภาคตะวันออกเฉียงเหนือ,นครราชสีมา,2454.5,1177.7,1276.8,2447.0,1173.0,1274.0,Northeastern Region,Nakhon Ratchasima
ภาคตะวันออกเฉียงเหนือ,บุรีรัมย์,1164.0,558.5,605.5,1154.7,553.5,601.2,Northeastern Region,Buri Ram
ภาคตะวันออกเฉียงเหนือ,สุรินทร์,1012.0,485.6,526.4,1003.1,480.9,522.3,Northeastern Region,Surin
ภาคตะวันออกเฉียงเหนือ,ศรีสะเกษ,899.2,431.4,467.7,888.8,426.1,462.8,Northeastern Region,Si Sa Ket
ภาคตะวันออกเฉียงเหนือ,อุบลราชธานี,1715.3,822.7,892.5,1710.8,819.8,891.0,Northeastern Region,Ubon Ratchathani
ภาคตะวันออกเฉียงเหนือ,ยโสธร,435.5,209.0,226.6,431.5,206.9,224.7,Northeastern Region,Yasothon
ภาคตะวันออกเฉียงเหนือ,ชัยภูมิ,902.9,433.2,469.7,897.1,430.0,467.1,Northeastern Region,Chaiyaphum
ภาคตะวันออกเฉียงเหนือ,อำนาจเจริญ,279.1,134.2,144.9,278.4,133.7,144.7,Northeastern Region,Amnat Charoen
ภาคตะวันออกเฉียงเหนือ,หนองบัวลำภู,463.8,222.0,241.7,461.5,220.8,240.8,Northeastern Region,Nong Bua Lam Phu
ภาคตะวันออกเฉียงเหนือ,ขอนแก่น,1689.0,810.4,878.6,1684.6,807.5,877.1,Northeastern Region,Khon Kaen
ภาคตะวันออกเฉียงเหนือ,อุดรธานี,1226.0,588.7,637.3,1220.0,585.3,634.7,Northeastern Region,Udon Thani
ภาคตะวันออกเฉียงเหนือ,เลย,524.3,251.6,272.7,522.0,250.2,271.8,Northeastern Region,Loei
ภาคตะวันออกเฉียงเหนือ,หนองคาย,444.7,211.8,233.0,443.1,210.8,232.3,Northeastern Region,Nong Khai
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,352.4,170.7,181.7,351.1,169.9,181.2,Northeastern Region,Bueng Kan
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,750.7,360.2,390.5,744.7,357.0,387.7,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,1025.0,491.8,533.2,1018.5,488.2,530.3,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,769.5,369.2,400.3,764.7,366.6,398.1,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,896.4,430.1,466.3,892.0,427.6,464.4,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,529.0,253.8,275.2,524.5,251.4,273.1,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,439.2,210.7,228.5,442.9,212.3,230.6,Northeastern Region,Mukdahan
ภาคใต้,ภาคใต้,9441.6,4588.9,4852.8,9480.2,4605.8,4874.3,Southern Region,Southern Region
ภาคใต้,นครศรีธรรมราช,1508.0,732.9,775.1,1512.0,734.6,777.4,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,413.7,201.0,212.6,416.3,202.3,214.1,Southern Region,Krabi
ภาคใต้,พังงา,226.4,110.0,116.3,225.8,109.7,116.1,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,560.1,272.2,287.9,564.7,274.3,290.3,Southern Region,Phuket
ภาคใต้,สุราษฏร์ธานี,1075.4,522.7,552.7,1081.5,525.4,556.1,Southern Region,Surat Thani
ภาคใต้,ระนอง,259.3,126.0,133.3,263.0,127.8,135.2,Southern Region,Ranong
ภาคใต้,ชุมพร,454.7,221.0,233.7,454.9,221.0,233.9,Southern Region,Chumphon
ภาคใต้,สงขลา,1656.5,805.1,851.4,1666.3,809.6,856.7,Southern Region,Songkhla
ภาคใต้,สตูล,300.8,146.2,154.6,302.5,146.9,155.5,Southern Region,Satun
ภาคใต้,ตรัง,618.5,300.6,317.9,618.8,300.6,318.1,Southern Region,Trang
ภาคใต้,พัทลุง,489.7,238.0,251.7,489.3,237.7,251.6,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,647.6,314.7,332.8,648.8,315.2,333.6,Southern Region,Pattani
ภาคใต้,ยะลา,486.6,236.5,250.1,489.2,237.6,251.5,Southern Region,Yala
ภาคใต้,นราธิวาส,744.4,361.8,382.6,747.3,363.1,384.2,Southern Region,Narathiwat
,,,,,,,,,
หมายเหตุ: ตารางแสดงผลจำนวนประชากรสัญชาติไทยและไม่ใช่สัญชาติไทยแต่มีชื่อในทะเบียนบ้านตามรายงานการคาดประมาณประชากรของประเทศไทย 2553 - 2583 (ฉบับปรับปรุง) ภายใต้ข้อสมมติภาวะเจริญพันธุ์ระดับปานกลาง,,,,,,,,,
Note: Results of Thais and non-Thais whose names are in household registration from Report of the population projections for Thailand 2010 - 2040 (Revision) under of medium fertility assumption. ,,,,,,,,,
ที่มา: สำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ  สำนักนายกรัฐมนตรี,,,,,,,,,
"Source: Office of the National Economic and Social Development Council, Office of the Prime Minister",,,,,,,,,
