"ตาราง 1.15 การตาย และอัตราตายทารก (อายุต่ำกว่า 1 ปี) ต่อการเกิดมีชีพ 1,000 คน จำแนกตามภาค และเพศ พ.ศ. 2561 - 2565",,,,,,,,,,
"Table 1.15 Infant Deaths and Infant Mortality (Under 1 Year) Rate per 1,000 Live Births Under 1 Year by Region and Sex: 2018 - 2022",,,,,,,,,,
,,,,,,,,,,
รายการ,ภาค,เพศ,2561 (2018),2562 (2018),2563 (2018),2564 (2018),2565 (2018),Item,Region,Sex
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",ทั่วราชอาณาจักร,ชาย,6.7,6.2,5.7,5.7,5.9,"Infant mortality rate per 1,000 live births (Under 1 year)",Whole Kingdom,Male
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",ทั่วราชอาณาจักร,หญิง,5.3,5.1,4.4,4.6,4.6,"Infant mortality rate per 1,000 live births (Under 1 year)",Whole Kingdom,Female
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",กรุงเทพมหานคร,รวม,6.1,5.7,5.5,4.7,4.9,"Infant mortality rate per 1,000 live births (Under 1 year)",Bangkok,Total
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",กรุงเทพมหานคร,ชาย,6.9,6.3,6.0,4.7,5.6,"Infant mortality rate per 1,000 live births (Under 1 year)",Bangkok,Male
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",กรุงเทพมหานคร,หญิง,5.3,5.1,5.0,4.7,4.1,"Infant mortality rate per 1,000 live births (Under 1 year)",Bangkok,Female
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",ภาคกลาง (ไม่รวม กทม),รวม,5.8,5.5,4.8,5.1,4.9,"Infant mortality rate per 1,000 live births (Under 1 year)",Central Region (Excluding BKK.) ,Total
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",ภาคกลาง (ไม่รวม กทม),ชาย,6.3,6.1,5.3,5.7,5.5,"Infant mortality rate per 1,000 live births (Under 1 year)",Central Region (Excluding BKK.) ,Male
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",ภาคกลาง (ไม่รวม กทม),หญิง,5.2,4.9,4.2,4.5,4.2,"Infant mortality rate per 1,000 live births (Under 1 year)",Central Region (Excluding BKK.) ,Female
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",ภาคเหนือ,รวม,5.3,5.3,4.1,4.9,4.9,"Infant mortality rate per 1,000 live births (Under 1 year)",Northern Region,Total
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",ภาคเหนือ,ชาย,5.9,5.7,4.6,5.6,5.9,"Infant mortality rate per 1,000 live births (Under 1 year)",Northern Region,Male
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",ภาคเหนือ,หญิง,4.7,5.0,3.5,4.2,3.9,"Infant mortality rate per 1,000 live births (Under 1 year)",Northern Region,Female
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",ภาคตะวันออกเฉียงเหนือ,รวม,5.6,5.1,4.8,4.4,5.0,"Infant mortality rate per 1,000 live births (Under 1 year)",Northeastern Region,Total
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",ภาคตะวันออกเฉียงเหนือ,ชาย,6.5,5.6,5.5,4.9,5.5,"Infant mortality rate per 1,000 live births (Under 1 year)",Northeastern Region,Male
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",ภาคตะวันออกเฉียงเหนือ,หญิง,4.7,4.6,4.0,4.0,4.4,"Infant mortality rate per 1,000 live births (Under 1 year)",Northeastern Region,Female
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",ภาคใต้,รวม,7.6,7.0,6.3,6.8,7.0,"Infant mortality rate per 1,000 live births (Under 1 year)",Southern Region,Total
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",ภาคใต้,ชาย,8.3,7.6,7.2,7.7,7.5,"Infant mortality rate per 1,000 live births (Under 1 year)",Southern Region,Male
"อัตราตายทารกต่อการเกิดมีชีพ 1,000 คน (อายุต่ำกว่า 1 ปี)",ภาคใต้,หญิง,6.9,6.4,5.5,5.9,6.5,"Infant mortality rate per 1,000 live births (Under 1 year)",Southern Region,Female
,,,,,,,,,,
ที่มา:  สำนักงานปลัดกระทรวงสาธารณสุข,,,,,,,,,,
Source:  Office of the Permanent Secretary Ministry of Public Health,,,,,,,,,,
