ตาราง 20.4 อันดับดัชนีชี้วัดความสามารถในการแข่งขันของประเทศไทย เทียบกับประเทศอื่นในอาเซียน พ.ศ. 2565 - 2566,,,,,,,,,,,,,,,,,,,,,
Table  20.4 Competitiveness Index Rankings of Thailand and Other Countries in ASEAN: 2022 - 2023,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
รายการ,ปัจจัยย่อย,2565 (2022)_ไทย (Thai),2565 (2022)_สิงคโปร์ (Singapore),2565 (2022)_เวียดนาม (Viet Nam),2565 (2022)_ลาว(Lao PDR),2565 (2022)_กัมพูชา (Cambodia),2565 (2022)_มาเลเซีย (Malaysia),2565 (2022)_อินโดนีเซีย (Indonesia),2565 (2022)_บูรไน ดารุสลาม (Brunei Darussalam),2565 (2022)_ฟิลิปปินส์ (Philippines),2566 (2023)_ไทย (Thai),2566 (2023)_สิงคโปร์ (Singapore),2566 (2023)_เวียดนาม (Viet Nam),2566 (2023)_ลาว(Lao PDR),2566 (2023)_กัมพูชา (Cambodia),2566 (2023)_มาเลเซีย (Malaysia),2566 (2023)_อินโดนีเซีย (Indonesia),2566 (2023)_บูรไน ดารุสลาม (Brunei Darussalam),2566 (2023)_ฟิลิปปินส์ (Philippines),Item,Sub-Factor
ประสิทธิภาพของภาคธุรกิจ,ผลิตภาพและประสิทธิภาพ,47,9,-    ,-    ,-    ,46,51,-    ,56,38,6,-    ,-    ,-    ,36,42,-    ,52,Business efficiency,Productivity
ประสิทธิภาพของภาคธุรกิจ,ตลาดแรงงาน,13,12,-    ,-    ,-    ,22,2,-    ,15,8,4,-    ,-    ,-    ,30,1,-    ,21,Business efficiency,Labor market
ประสิทธิภาพของภาคธุรกิจ,ระบบการเงิน,27,11,-    ,-    ,-    ,37,36,-    ,41,22,10,-    ,-    ,-    ,32,31,-    ,44,Business efficiency,Finance
ประสิทธิภาพของภาคธุรกิจ,การบริหารจัดการ,22,14,-    ,-    ,-    ,35,24,-    ,41,22,23,-    ,-    ,-    ,31,15,-    ,41,Business efficiency,Management practices
ประสิทธิภาพของภาคธุรกิจ,ทัศนคติและค่านิยม,25,12,-    ,-    ,-    ,36,19,-    ,28,19,13,-    ,-    ,-    ,34,12,-    ,32,Business efficiency,Attitudes and values
โครงสร้างพื้นฐาน,ภาพรวม,44,12,-    ,-    ,-    ,37,52,-    ,57,43,9,-    ,-    ,-    ,35,51,-    ,58,Infrastructure,Overall
โครงสร้างพื้นฐาน,สาธารณูปโภคพื้นฐาน,22,43,-    ,-    ,-    ,19,32,-    ,52,22,13,-    ,-    ,-    ,8,26,-    ,58,Infrastructure,Basic infrastructure
โครงสร้างพื้นฐาน,โครงสร้างพื้นฐานด้านเทคโนโลยี,34,1,-    ,-    ,-    ,20,49,-    ,45,25,3,-    ,-    ,-    ,16,35,-    ,48,Infrastructure,Technological infrastructure
โครงสร้างพื้นฐาน,โครงสร้างพื้นฐานด้านวิทยาศาสตร์,38,16,-    ,-    ,-    ,32,51,-    ,52,39,17,-    ,-    ,-    ,31,49,-    ,57,Infrastructure,Scientific infrastructure
โครงสร้างพื้นฐาน,สุขภาพและสิ่งแวดล้อม,51,25,-    ,-    ,-    ,44,59,-    ,58,53,26,-    ,-    ,-    ,42,58,-    ,60,Infrastructure,Health and environment
โครงสร้างพื้นฐาน,การศึกษา,53,6,-    ,-    ,-    ,44,58,-    ,60,54,11,-    ,-    ,-    ,45,57,-    ,62,Infrastructure,Education
ประเทศทั้งหมด,,63,63,-    ,-    ,-    ,63,63,-    ,63,64,64,-    ,-    ,-    ,64,64,-    ,64,Total country,
,,,,,,,,,,,,,,,,,,,,,
"ที่มา: IMD World Competitiveness Yearbook, International Institute for Management Development",,,,,,,,,,,,,,,,,,,,,
"Source: IMD World Competitiveness Yearbook, International Institute for Management Development",,,,,,,,,,,,,,,,,,,,,
