ตาราง 5.5 ผู้ป่วยใน ตามกลุ่มสาเหตุป่วยที่สำคัญ จากสถานบริการสาธารณสุข ของกระทรวงสาธารณสุข พ.ศ. 2565,,,,
"Table 5.5 In-Patients by Major Cause Groups from Health Service Units, Ministry of Public Health: 2022",,,,
,,,,
การติดเชื้อของทางเดินหายใจส่วนบนแบบเฉียบพลันอื่น ๆ,314089,147652,166437,Other acute upper respiratory infections
ความผิดปกติของการนำกระแสไฟฟ้าหัวใจ และหัวใจเต้นผิดจังหวะ,245187,121060,124127,Conduction disorders and cardiac arrhythmias
อาการท้องร่วง กระเพาะและลำไส้อักเสบ ซึ่งสันนิษฐานว่าเกิดจากการติดเชื้อ,230231,103771,126460,Diarrhoea and gastroenteritis of presumed infectious origin
โรคอื่น ๆ ของระบบทางเดินปัสสาวะ,219621,91170,128451,Other diseases of the urinary system
ภาวะแทรกซ้อนอื่น ๆ ของการตั้งครรภ์ และการคลอด,213717,-,213717,Other complications of pregnancy 
คออักเสบเฉียบพลันและต่อมทอนซิลอักเสบเฉียบพลัน,212061,98163,113898,Acute pharyngitis and acute tonsillitis
โรคหัวใจขาดเลือดอื่น ๆ,211835,125681,86154,Other ischaemic heart diseases
หัวใจล้มเหลว,200744,94832,105912,Heart failure
ต้อกระจกและความผิดปกติของเลนส์อื่น ๆ,187585,85161,102424,Cataract and other disorders of lens
ตาบอดและสายตาเลือนราง,184335,83219,101116,Blindness and low vision 
เนื้องอกอื่น ๆ และที่ไม่ทราบสาเหตุ เนื้องอกทุติยภูมิที่มิได้ระบุรายละเอียด และเกิดขึ้นหลายแห่ง,173173,82528,90645,"Malignant neoplasm of other, ill-defined, secondary, unspecIfied and multiple sites "
ภาวะเลือดออกอื่น ๆ โรคเลือดและอวัยวะที่สร้างเลือด,168574,96973,71601,Haemorrhagic conditions and other diseases of blood and blood forming organs
โรคหลอดลมอักเสบ ถุงลมโป่งพอง และปอดชนิดอุดกั้นแบบเรื้อรังอื่น,166675,128166,38509,"Bronchitis, emphysema and other chronic obstructive pulmonary diseases"
ข้ออักเสบรูห์มาตอยและข้ออักเสบหลายข้อ,158089,106571,51518,Rheumatoid arthritis and other inflammatory polyarthropathies
การบาดเจ็บระบุเฉพาะอื่น ๆ ไม่ระบุเฉพาะและหลายบริเวณในร่างกาย,154497,109938,44559,"Other injuries of specIfied, unspecIfied and multiple body regions"
โลหิตเป็นพิษ,152500,78033,74467,Septicemia
การคลอดของครรภ์เดี่ยว,148365,-,148365,Single spontaneous delivery
ภาวะแทรกซ้อนระยะแรกของการบาดเจ็บบางชนิดและภาวะแทรกซ้อนของการรักษาทางศัลยกรรมและอายุรกรรม ที่มิได้มีรหัสระบุไว้ที่อื่น,142168,80116,62052,"Certain early complications of trauma and complications of surgical and medical care, note elsewhere classIfied"
โรคอื่น ๆ ของตับ,135029,84913,50116,Other disease of liver
ภาวะอื่น ๆ ในระยะปริกำเนิด,128396,69669,58727,Other conditions originating in the perinatal period
โรคหลอดเลือดในสมองอื่น ๆ,127045,69942,57103,Other cerebrovascular diseases
เนื้อสมองตาย,123497,67160,56337,Cerebral infraction 
โรคอื่น ๆ ของระบบย่อยอาหาร,122444,76214,46230,Other diseases of the digestive system 
หลอดลมอักเสบเฉียบพลันและหลอดลมเล็กอักเสบเฉียบพลัน,121633,60867,60766,Acute bronchitis and acute bronchiolitis
การดูแลมารดาอื่น ๆ ที่มีปัญหาเกี่ยวกับทารกในครรภ์ และถุงน้ำคร่ำ และปัญหาที่อาจจะเกิดได้ในระยะคลอด,116215,-,116215,Other maternal care related to fetus and amniotic cavity and possible delivery problems
กระดูกแตกหักของแขนขาอื่น ๆ,113587,73839,39748,Fracture of other limb bones
โรคอักเสบติดเชื้อของผิวหนังและเนื้อเยื่อใต้ผิวหนัง,113584,63394,50190,Infection of the skin and subcutaneous tissue
โรคหัวใจอื่น ๆ,112651,59975,52676,Other heart diseases
โรคอื่น ๆ ของลำไส้และเยื่อบุช่องท้อง,112389,61388,51001,Other diseases of intestine and peritoneum
ไข้ไม่ทราบสาเหตุ,108995,58592,50403,Fever of unknown origin
ความผิดปกติของพฤติกรรมและจิตประสาทที่เกิดจากการเสพแอลกอฮอล์,105299,94341,10958,Mental and behavioral disorders due to use of alcohol 
การบาดเจ็บภายในกะโหลกศีรษะ,100902,69777,31125,Intracranial injury 
โรคของระบบประสาทอื่น ๆ,99975,54889,45086,Other diseases of the nervous system 
โรคหืด,95360,38701,56659,Asthma
โรคอื่น ๆ ของผิวหนังและเนื้อเยื่อใต้ผิวหนัง,90223,47135,43088,Other diseases of the skin and subcutaneous tissue 
โลหิตจางจากการขาดธาตุเหล็ก,90111,40111,50000,Iron deficiency anaemia
กล้ามเนื้อหัวใจตายเฉียบพลัน,80974,47914,33060,Acute myocardial infarction
ลมบ้าหมู,78773,49636,29137,Epilepsy
ภาวะแทรกซ้อนที่ส่วนใหญ่พบในระยะหลังคลอด และภาวะทางสูติกรรมอื่น ๆ ที่มิได้ระบุรายละเอียด,78393,-,78393,"Complications predominantly related to the puerperium and other obstetic conditions, not elsewhere classified  "
เนื้อเยื่อผิดปกติ,76081,42970,33111,Soft tissue disorders 
โรคของท่อและเนื้อเยื่อระหว่างท่อในไต,76018,30379,45639,Renal tubulo-interstitial diseases
ต่อมลูกหมากโตจากการเพิ่มจำนวนเซลล์,75868,75868,-,Hyperplasia of prostate
โรคนิ่วในระบบน้ำดีและถุงน้ำดีอักเสบ,72419,29903,42516,Cholelithiasis and cholecysitis
โรคของไส้ติ่ง,68781,33492,35289,Diseases of appendix
จิตเภท พฤติกรรมแบบจิตเภทและความหลงผิด,67382,46371,21011,"Schizophrenia, schizotypal and delusional disorders"
โรคอื่น ๆ ของหลอดอาหาร กระเพาะและดูโอเดนัม,66757,30707,36050,"Other diseases of oespophagus, stomach and duodenum"
กระเพาะอาหารอักเสบและลำไส้เล็กส่วนตันอักเสบ,66492,34847,31645,Gastritis and duodenitis
เลือดออกในสมอง,63287,37798,25489,Intracranial haemorrhag
ความผิดปกติทางพฤติกรรมและจิตประสาทที่เกิดจากการใช้วัตถุออกฤทธิ์ต่อจิตประสาทอื่น ๆ,62818,55661,7157,Mental and behavioral disorders due to other psychoactive substance use
เนื้องอกร้ายของลำไส้ใหญ่,62565,32988,29577,Malignant neoplasm of colon
ความผิดปกติทางจิตและพฤติกรรมอื่น ๆ,62015,37520,24495,Other mental and behavioral disorders
เนื้องอกไม่ร้ายจำกัดเฉพาะที่อื่น ๆ และเนื้องอกบางชนิดที่ไม่ทราบพฤติกรรม,61135,26313,34822,Other in situ and benign neoplasms and neoplasms of uncertain and unknown behaviour
ตับอักเสบจากไวรัสอื่น ๆ,60807,41155,19652,Other viral hepatitis
การรับบริการคุมกำเนิด,58036,97,57939,Contraceptive management
โรคตับเกี่ยวกับแอลกอฮอล์,56565,45640,10925,Alcohalic liver disease
ภูมิคุ้มกันบกพร่องเนื่องจากไวรัส (HIV),53758,31930,21828,Human immunodeficiency virus [HIV] disease 
วัณโรคทางเดินหายใจ,52634,38026,14608,Respiratory tuberculosis
ความผิดปกติทางอารมณ์,52295,13820,38475,Mood (affective) disorders
โรคอ้วน,51033,20407,30626,Obesity
เนื้องอกร้ายที่ตับและท่อน้ำดีในตับ,50976,35261,15715,Malignant neoplasm of liver and intrahepatic bile ducts
ปวดท้องและปวดอุ้งเชิงกราน,50817,21429,29388,Abdominal and pelvic pain
พยาธิสภาพของหลังส่วนอื่น ๆ ,50655,22031,28624,Other dorsopathies
อื่น ๆ ,2446721,1177391,1269330,Others 
,,,,
ที่มา: สำนักงานปลัดกระทรวงสาธารณสุข,,,,
Source: Office of the Permanent Secretary Ministry of Public Health,,,,
