ตาราง 5.10 ใบอนุญาตประกอบธุรกิจเกี่ยวกับยา จำแนกตามภาค และจังหวัด พ.ศ. 2567,,,,,,,,,,,,
Table 5.10  Licence Concerning Drugs by Region and Province: 2024,,,,,,,,,,,,
,,,,,,,,,,,,
ภาคตะวันออกเฉียงเหนือ,มหาสารคาม,173,21,21,-,-,1,14,-,7,Northeastern Region,Maha Sarakham
ภาคตะวันออกเฉียงเหนือ,ร้อยเอ็ด,184,15,13,1,-,-,12,-,10,Northeastern Region,Roi Et
ภาคตะวันออกเฉียงเหนือ,บึงกาฬ,55,4,6,-,-,-,21,-,-,Northeastern Region,Bueng Kan
ภาคตะวันออกเฉียงเหนือ,กาฬสินธุ์,144,19,7,1,-,-,10,-,2,Northeastern Region,Kalasin
ภาคตะวันออกเฉียงเหนือ,สกลนคร,161,11,10,-,-,-,8,-,3,Northeastern Region,Sakon Nakhon
ภาคตะวันออกเฉียงเหนือ,นครพนม,115,15,11,-,-,-,4,-,-,Northeastern Region,Nakhon Phanom
ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,62,2,5,-,-,-,-,-,-,Northeastern Region,Mukdahan
ภาคใต้,รวม,3010,192,40,8,0,0,155,3,47,Southern Region,Total
ภาคใต้,นครศรีธรรมราช,347,42,7,1,-,-,28,-,15,Southern Region,Nakhon Si Thammarat
ภาคใต้,กระบี่,166,-,-,-,-,-,14,-,1,Southern Region,Krabi
ภาคใต้,พังงา,77,7,-,-,-,-,10,-,3,Southern Region,Phang-nga
ภาคใต้,ภูเก็ต,709,-,-,-,-,-,7,-,-,Southern Region,Phuket
ภาคใต้,สุราษฎร์ธานี,518,29,3,-,-,-,1,-,1,Southern Region,Surat Thani
ภาคใต้,ระนอง,53,4,-,3,-,-,-,-,-,Southern Region,Ranong
ภาคใต้,ชุมพร,140,29,4,-,-,-,8,-,3,Southern Region,Chumphon
ภาคใต้,สงขลา,396,29,7,3,-,-,48,1,15,Southern Region,Songkhla
ภาคใต้,สตูล,60,1,-,-,-,-,8,-,-,Southern Region,Satun
ภาคใต้,ตรัง,157,5,-,1,-,-,8,-,1,Southern Region,Trang
ภาคใต้,พัทลุง,105,8,16,-,-,-,11,-,3,Southern Region,Phatthalung
ภาคใต้,ปัตตานี,94,11,1,-,-,-,5,2,3,Southern Region,Pattani
ภาคใต้,ยะลา,87,10,1,-,-,-,5,-,2,Southern Region,Yala
ภาคใต้,นราธิวาส,101,17,1,-,-,-,2,-,-,Southern Region,Narathiwat
,,,,,,,,,,,,
หมายเหตุ: ,ขย1. หมายถึง ขายยาแผนปัจจุบัน,,,,,,,,,,,
Note: ,ขย1.  Is mean a licence to sell modern drugs,,,,,,,,,,,
,ขย2. หมายถึง ขายยาแผนปัจจุบันเฉพาะยาบรรจุเสร็จที่ไม่ใช่ยาอันตรายหรือควบคุมพิเศษ,,,,,,,,,,,
,ขย2. Is mean a license to sell only ready-packed modern drugs which are not dangerous or specially-controlled drugs,,,,,,,,,,,
,ขย3. หมายถึง ขายยาแผนปัจจุบันเฉพาะยาบรรจุเสร็จสำหรับสัตว์,,,,,,,,,,,
,ขย3. Is mean a license to sell only ready-packed modern drugs for veterinary use,,,,,,,,,,,
,ขย4. หมายถึง ขายส่งยาแผนปัจจุบัน,,,,,,,,,,,
,ขย4. Is mean a license to wholesale modern drugs,,,,,,,,,,,
,นย1. หมายถึง นำหรือสั่งยาแผนปัจจุบันเข้ามาในราชอาณาจักร,,,,,,,,,,,
,นย1. Is mean a license to import or order modern drugs into the Kingdom ,,,,,,,,,,,
,ผย1. หมายถึง ผลิตยาแผนปัจจุบัน,,,,,,,,,,,
,ผย1. Is mean a license to produce modern drugs,,,,,,,,,,,
,ขยบ. หมายถึง ขายยาแผนโบราณสำหรับสัตว์,,,,,,,,,,,
,ขยบ. Is mean a license to sell traditional drugs for veterinary use,,,,,,,,,,,
,นยบ. หมายถึง นำหรือสั่งยาแผนโบราณเข้ามาในราชอาณาจักรสำหรับสัตว์,,,,,,,,,,,
,นยบ. Is mean a license to import or order traditional drugs into the Kingdom for veterinary use,,,,,,,,,,,
,ผยบ. หมายถึง ผลิตยาแผนโบราณสำหรับสัตว์,,,,,,,,,,,
,ผยบ. Is mean a license to produce traditional drugs for veterinary use,,,,,,,,,,,
,ข้อมูล ณ วันที่ 16 กรกฎาคม 2567,,,,,,,,,,,
,Data as of 16 July 2024,,,,,,,,,,,
ที่มา: สำนักงานคณะกรรมการอาหารและยา  กระทรวงสาธารณสุข,,,,,,,,,,,,
"Source: Food and Drug Adminstration,  Ministry of Public Heath",,,,,,,,,,,,
